,played_at,track_name,explicit,duration_ms,type,playlist_url
2065,2017-04-14T09:14:28.282Z,Timtar (Memories),False,293280,playlist,
2066,2017-04-29T13:45:57.374Z,Junior's Place,False,360573,playlist,
2067,2017-04-18T09:26:06.149Z,"Sun, Moon, Stars",False,279306,playlist,
2068,2017-05-09T20:31:33.046Z,Love Of My Life (An Ode To Hip Hop) - Album Version Edit,False,230386,playlist,
2069,2017-06-09T06:58:18.901Z,The Blues (It Began in Africa),False,235188,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1CAgYgWfjReU0M
2070,2017-05-18T13:00:59.198Z,Razorback - Original Mix,False,491586,album,
2071,2017-04-14T11:08:07.768Z,Rhapsody In Berlin,False,381982,playlist,
2072,2017-05-12T08:32:49.069Z,Mad About The Boy,False,165653,,
2073,2017-04-24T11:46:25.298Z,Ghetto Brothers Power,False,145213,playlist,
2074,2017-06-07T13:16:38.323Z,Soul Fog,False,245760,album,https://open.spotify.com/album/3APzha7n0cOFqWyk6rQJhj
2075,2017-04-02T20:38:05.887Z,Bed Of Roses,False,144533,playlist,
2076,2017-04-25T13:03:26.589Z,Bailar Conmigo,False,243360,album,
2077,2017-06-26T20:57:37.808Z,Spaced - Shulman Remix,False,481360,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2078,2017-06-19T09:40:49.083Z,3 O'Clock Blues,False,183293,playlist,https://open.spotify.com/user/1170891844/playlist/6LLD97iHPZRTGXixrrkqq5
2079,2017-06-02T22:22:32.018Z,Shotgun Mouthwash,False,224210,,
2080,2017-05-09T09:43:48.863Z,1960 What? - Opolopo Kick and Bass Rerub,False,504493,playlist,
2081,2017-06-04T09:05:33.254Z,Mama,False,184133,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWZKxDdpAkEjR
2082,2017-04-21T18:33:21.503Z,Gentle Persuasion,False,405519,playlist,
2083,2017-06-29T12:46:36.174Z,Lights Down (Franky Rizardo Remix) - Mixed,False,200920,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4dyzvuaRJ0n
